Paper,Dataset,Backbone,Pretraining,Loss,Augmentation,Reported_AUROC,Weakness,Code_Available,Repo_Link
Uni-Mol,TOX21,3D Transformer,200M conformer SSL,MAE,Boltzmann augmentation,0.918,Lack explainability,Yes,https://github.com/dptech-corp/unimol
Mole-BERT,GEM,Graph BERT,Atom masking SSL,BCE,Masked atom prediction,0.745,Single modality,Yes,https://github.com/Helm-Lab/Mole-BERT
MolFormer,GEM,Transformer,Roberta SSL,BCE,Random masking,0.762,Memory intensive,Yes,https://github.com/IBM/molformer
GraphMAE,MoleculeNet,GAT/ViT,Graph masked autoenc,MSE,Node/edge masking,0.889+,Self-attention overhead,Yes,https://github.com/chaooge/GraphMAE
GraphMVP,MoleculeNet,GCN+MLP,3D contrast,MSE,RDKit conformers,0.733,Needs 3D coords,Yes,https://github.com/chao-ran/GraphMVP
GROVER,MoleculeNet,GNN+BERT,GEM pretraining,BCE,Bond/edge masking,0.856+,Large model size,Yes,https://github.com/IBM-Digital-Assets/GROVER
KANO,MoleculeNet,GAT,Atom masking,Contrastive,Substructure masking,0.792,Lack global context,Yes,https://github.com/luohui233/KANO
Graphormer,MoleculeNet,Transformer,Position encoding,BCE,BERT-style masking,0.845,TBD,A,https://github.com/microsoft/Graphormer
MoleculeFormer,MoleculeNet,Transformer,Multi-modal SSL,BCE,Fragment masking,TBD,N/A,No,TBD
SAN,MoleculeNet,Structure-aware,SSL pretraining,BCE,Pairwise distance,TBD,N/A,No,TBD
GPS,MoleculeNet,Graph Trans,Graph SSL,BCE,Bi-level contrast,TBD,N/A,No,TBD
ChemBERTa,GEM,BERT-like,MLM pretraining,BCE,SMILES masking,0.795,No structure awareness,Yes,https://github.com/gohdongwenlei/ChemBERTa
MoLFormer-XL,GEM,Transformer,Contrastive SSL,BCE,Molecule cloze,0.812+,Limited 3D,Yes,https://github.com/IBM/molformer
MolT5,MoleculeNet,T5,Seq2Seq SSL,Cross-entropy,Mol-descrip gen,0.789,Two-stage pipeline,Yes,https://github.com/blabberdevelopment/MolT5
PGExplainer,MoleculeNet,Various,GNNExplainer+ pruning,BCE,N/A,0.721,Post-hoc only,Yes,https://github.com/zfz/PGExplainer
GNNExplainer,MoleculeNet,Original,GNNExplainer,BCE,N/A,0.684,HIGH rejection rate,Yes,https://github.com/yujianzhe/GNNExplainer
SubgraphX,MoleculeNet,GNN+LRP,SubgraphX,BCE,N/A,0.756,Better than GNNExplainer,Yes,https://github.com/chaooge/SubgraphX
GraphMask,MoleculeNet,GNN,Intervention-based,BCE,N/A,0.735,Requires intervention,Yes,https://github.com/facebookresearch/GraphMask
AttentiveFP,MoleculeNet,AttentiveFP,BCE,N/A,0.823,No pretraining,Yes,https://github.com/Osaimiya/attentive_fp_pytorch
D-MPNN,ChemProp,DMPNN,BCE,N/A,0.881,RNN-based,Yes,https://github.com/chemprop/chemprop
MPNN,MoleculeNet,MPNN,BCE,N/A,0.801,Vanilla GNN,Yes,https://github.com/pytorch/fairseq
GIN,MoleculeNet,GIN,BCE,N/A,0.790,Simple architecture,Yes,https://github.com/weihua95/GIN
